sg_uf;nm_municipio;nm_candidato;ds_cargo;nr_candidato;sg_partido;nr_turno;ds_sit_totalizacao;qt_votos_validos;qt_votos_nominais;dt_carga
AC;BRASILÉIA;MARIA ROSILENE DANTAS BARROS;Deputado Federal;1200;PDT;1;Não Eleito;13960;1;2022-11-14 18:47:07
AC;BRASILÉIA;MARIA ROSINEIA DA SILVA FROTA;Deputado Federal;4077;PSB;1;Não Eleito;13960;1;2022-11-14 18:47:07
AC;BRASILÉIA;MARIA SANTIAGO DE LIMA;Deputado Federal;1300;PT;1;Não Eleito;13960;29;2022-11-14 18:47:07
AC;BRASILÉIA;MARIA SIRLENE ALVES MAGALHAES;Deputado Estadual;50555;PSOL;1;Não Eleito;14094;0;2022-11-14 18:47:07
AC;BRASILÉIA;MARIA SOCORRO SOARES DE OLIVEIRA;Deputado Federal;1133;PP;1;Suplente;13960;18;2022-11-14 18:47:07
AC;BRASILÉIA;MARIA TEREZINHA RODRIGUES DA SILVA;Deputado Estadual;23033;CIDADANIA;1;Suplente;14094;1;2022-11-14 18:47:07
AC;BRASILÉIA;MARIA ZUILA DOS SANTOS SILVA;Deputado Estadual;36398;AGIR;1;Não Eleito;14094;0;2022-11-14 18:47:07
AC;BRASILÉIA;MARIO MARCELO BARROS DOS SANTOS;Deputado Estadual;55555;PSD;1;Suplente;14094;22;2022-11-14 18:47:07
AC;BRASILÉIA;MARIO MARCELO BRILHANTE;Deputado Estadual;77121;SOLIDARIEDADE;1;Não Eleito;14094;0;2022-11-14 18:47:07
AC;BRASILÉIA;MARIO PEREIRA DE LIMA;Deputado Estadual;77123;SOLIDARIEDADE;1;Não Eleito;14094;4;2022-11-14 18:47:07
AC;BRASILÉIA;MARIO SERGIO RODRIGUES DE ARAÚJO;Deputado Estadual;51100;PATRIOTA;1;Não Eleito;14094;1;2022-11-14 18:47:07
AC;BRASILÉIA;MARISSANTA RODRIGUES DA SILVA;Deputado Estadual;90147;PROS;1;Não Eleito;14094;328;2022-11-14 18:47:07
AC;BRASILÉIA;MARLÚCIA ADRIÃO FERREIRA BARROS;Deputado Estadual;22001;PL;1;Suplente;14094;6;2022-11-14 18:47:07
AC;BRASILÉIA;MAURA MARIA DE AQUINO PENHA;Deputado Federal;4333;PV;1;Não Eleito;13960;0;2022-11-14 18:47:07
AC;BRASILÉIA;MAURICIO DE OLIVEIRA ARAUJO;Deputado Estadual;51000;PATRIOTA;1;Não Eleito;14094;2;2022-11-14 18:47:07
AC;BRASILÉIA;MAURICIO DINIZ LIMA;Deputado Federal;7799;SOLIDARIEDADE;1;Não Eleito;13960;0;2022-11-14 18:47:07
AC;BRASILÉIA;MAURICIO PEDRO SILVA;Deputado Estadual;23456;CIDADANIA;1;Suplente;14094;0;2022-11-14 18:47:07
AC;BRASILÉIA;MAURO DEFESON BARROSO BRAGA;Deputado Estadual;13111;PT;1;Suplente;14094;0;2022-11-14 18:47:07
AC;BRASILÉIA;MAYARA FARIAS DE MOURA BARROS;Deputado Estadual;90900;PROS;1;Não Eleito;14094;0;2022-11-14 18:47:07
AC;BRASILÉIA;MEIRANE OLIVEIRA DE LIMA;Deputado Estadual;12287;PDT;1;Suplente;14094;0;2022-11-14 18:47:07
AC;BRASILÉIA;MICHELLE DE OLIVEIRA MELO WICIUK;Deputado Estadual;12555;PDT;1;Eleito;14094;7;2022-11-14 18:47:07
AC;BRASILÉIA;MILTON AUGUSTO MACIEL DE SOUSA;Deputado Estadual;22300;PL;1;Suplente;14094;15;2022-11-14 18:47:07
AC;BRASILÉIA;MINORU MARTINS KINPARA;Deputado Federal;4500;PSDB;1;Não Eleito;13960;309;2022-11-14 18:47:07
AC;BRASILÉIA;MIRLA MORAES MIRANDA MARIANO;Deputado Federal;4477;UNIÃO;1;Suplente;13960;17;2022-11-14 18:47:07
AC;BRASILÉIA;MIRTES MARIA FIRMINO DE SOUZA;Deputado Estadual;55655;PSD;1;Suplente;14094;0;2022-11-14 18:47:07
